Title,Authors,Venue,Abstract
BERT-based distractor generation for Swedish reading comprehension questions using a small-scale dataset,Dmytro Kalpakchi and Johan Boye,,"An important part when constructing multiple-choice questions (MCQs) for reading comprehension assessment are the distractors, the incorrect but preferably plausible answer options. In this paper, we present a new BERT-based method for automatically generating distractors using only a small-scale dataset. We also release a new such dataset of Swedish MCQs (used for training the model), and propose a methodology for assessing the generated distractors. Evaluation shows that from a student’s perspective, our method generated one or more plausible distractors for more than 50% of the MCQs in our test set. From a teacher’s perspective, about 50% of the generated distractors were deemed appropriate. We also do a thorough analysis of the results."
Dialogue management for automatic troubleshooting and other problem-solving applications,Johan Boye,,"This paper describes a dialogue management method suitable for automatic troubleshooting and other problem-solving applications. The method has a theoremproving flavor, in that it recursively decomposes tasks into sequences of sub-tasks and atomic actions. An explicit objective when designing the method was that it should be usable by other people than the designers themselves, notably IVR application developers. Therefore the method has a transparent execution model, and is configurable using a simple scripting language."
Plug and play speech understanding,Manny Rayner and Ian Lewin and Genevieve Gorrell and Johan Boye,,Plug and Play is an increasingly important concept in system and network architectures. We introduce and describe a spoken language dialogue system architecture which supports Plug and Playable networks of objects in its domain. Each device in the network carries the linguistic and dialogue management information which is pertinent to it and uploads it dynamically to the relevant language processing components in the spoken language interface. We describe the current state of our plug and play demonstrator and discuss theoretical issues that arise from our work. Plug and Play forms a central topic for the DHomme project.
Directional types in logic programming,Johan Boye,LINKOPING STUDIES IN SCIENCE AND TECHNOLOGY-DISSERTATIONS-,
Large language models and mathematical reasoning failures,Johan Boye and Birger Moell,arXiv preprint arXiv:2502.11574,"This paper investigates the mathematical reasoning capabilities of large language models (LLMs) using 50 newly constructed high-school-level word problems. Unlike prior studies that focus solely on answer correctness, we rigorously analyze both final answers and solution steps to identify reasoning failures. Evaluating eight state-of-the-art models - including Mixtral, Llama, Gemini, GPT-4o, and OpenAI's o1 variants - we find that while newer models (e.g., o3-mini, deepseek-r1) achieve higher accuracy, all models exhibit errors in spatial reasoning, strategic planning, and arithmetic, sometimes producing correct answers through flawed logic. Common failure modes include unwarranted assumptions, over-reliance on numerical patterns, and difficulty translating physical intuition into mathematical steps. Manual analysis reveals that models struggle with problems requiring multi-step deduction or real-world knowledge, despite possessing broad mathematical knowledge. Our results underscore the importance of evaluating reasoning processes, not just answers, and caution against overestimating LLMs' problem-solving proficiency. The study highlights persistent gaps in LLMs' generalization abilities, emphasizing the need for targeted improvements in structured reasoning and constraint handling."
How was your day?,Stephen Pulman and Johan Boye and Marc Cavazza and Cameron Smith and Raúl Santos de la Cámara,,"We describe a ‘How was your day?’(HWYD) Companion whose purpose is to establish a comforting and supportive relationship with a user via a conversation on a variety of work-related topics. The system has several fairly novel features aimed at increasing the naturalness of the interaction: a rapid ‘short loop’response primed by the results of acoustic emotion analysis, and an ‘interruption manager’, enabling the user to interrupt lengthy or apparently inappropriate system responses, prompting a replanning of behaviour on the part of the system. The ‘long loop’also takes into account the emotional state of the user, but using more conventional dialogue management and planning techniques. We describe the architecture and components of the implemented prototype HWYD system."
Robust spoken language understanding in a computer game,Johan Boye and Joakim Gustafson and Mats Wirén,Speech Communication,"We present and evaluate a robust method for the interpretation of spoken input to a conversational computer game. The scenario of the game is that of a player interacting with embodied fairy-tale characters in a 3D world via spoken dialogue (supplemented by graphical pointing actions) to solve various problems. The player himself cannot directly perform actions in the world, but interacts with the fairy-tale characters to have them perform various tasks, and to get information about the world and the problems to solve. Hence the role of spoken dialogue as the primary means of control is obvious and natural to the player. Naturally, this means that robust spoken language understanding becomes a critical component. To this end, the paper describes a semantic representation formalism and an accompanying parsing algorithm which works off the output of the speech recogniser’s statistical language model. The …"
Persuasive dialogue based on a narrative theory: An eca implementation,Marc Cavazza and Cameron Smith and Daniel Charlton and Nigel Crook and Johan Boye and Stephen Pulman and Karo Moilanen and David Pizzi and Raul Santos de La Camara and Markku Turunen,,"Embodied Conversational Agents (ECA) are poised to constitute a specific category within persuasive systems, in particular through their ability to support affective dialogue. One possible approach consists in using ECA as virtual coaches or personal assistants and to make persuasion part of a dialogue game implementing specific argumentation or negotiation features. In this paper, we explore an alternative framework, which emerges from the long-term development of ECA as “Companions” supporting free conversation with the user, rather than task-oriented dialogue. Our system aims at influencing user attitudes as part of free conversation, albeit on a limited set of topics. We describe the implementation of a Companion ECA to which the user reports on his working day, and which can assess the user’s emotional attitude towards daily events in the office, trying to influence such attitude using affective strategies …"
Providing computer game characters with conversational abilities,Joakim Gustafson and Johan Boye and Morgan Fredriksson and Lasse Johanneson and Jürgen Königsmann,,"This paper presents the NICE fairy-tale game system, which enables adults and children to engage in conversation with animated characters in a 3D world. In this paper we argue that spoken dialogue technology have the potential to greatly enrichen the user’s experience in future computer games. We also present some requirements that have to be fulfilled to successfully integrate spoken dialogue technology with a computer game application. Finally, we briefly describe an implemented system that has provided computer game characters with some conversational abilities that kids have interacted with in studies."
Modality convergence in a multimodal dialogue system,Linda Bell and Johan Boye and Joakim Gustafson and Mats Wirén,,"When designing multimodal dialogue systems allowing speech as well as graphical operations, it is important to understand not only how people make use of the different modalities in their utterances, but also how the system might influence a user’s choice of modality by its own behavior. This paper describes an experiment in which subjects interacted with two versions of a simulated multimodal dialogue system. One version used predominantly graphical means when referring to specific objects; the other used predominantly verbal referential expressions. The purpose of the study was to find out what effect, if any, the system’s referential strategy had on the user’s behavior. The results provided limited support for the hypothesis that the system can influence users to adopt another modality for the purpose of referring."
Language-processing strategies and mixed-initiative dialogues,Johan Boye and Mats Wiren and Manny Rayner and Ian Lewin and David Carter and Ralph Becket,,"We describe an implemented spoken-language dialogue system for a travel-planning domain, which accesses a commercially available travelinformation web-server and supports a flexible mixed-initiative dialogue strategy. We argue, based on data from initial Wizard-of-Oz experiments, that mixed-initiative strategies are appropriate for many types of user, but require more sophisticated architectures for processing of language and dialogue we then use these observations to motivate an architecture which combines parallel deep and shallow natural language analysis engines and an agenda-driven dialogue manager. We outline the top-level processing strategy used by the dialogue manager, and also a novel formalism, which we call Flat Utterance Description, that allows us to reduce the output of the deep and shallow languageprocessing engines to a common representation."
Synthesis of directionality information for functional logic programs,Johan Boye and Jukka Paakki and Jan Małuszyński,,"Many functional logic programming languages are based on reduction of functional expressions. This feature is also provided by many Prolog systems that offer the facility of calling external functions written in non-logic programming languages. A basic requirement is usually that the arguments of the functions must be ground at invocation time, otherwise an error is reported, or the call is delayed until the arguments are sufficiently instantiated. The drawback of the latter method is twofold: (1) the arguments might never be instantiated, and (2) the dynamic checks made by the delaying mechanism are expensive. This paper presents a method, which for a given program identifies a class of atomic goals for which (1) will not occur. Moreover, we describe a method for transforming a program into an equivalent program, for which dynamic delays are avoided. The static analysis is based on the concept of dependency …"
Handling user interruptions in an embodied conversational agent,Nigel Crook and Cameron Smith and Marc Cavazza and Stephen Pulman and Roger Moore and Johan Boye,Proceedings of the AAMAS International Workshop on Interacting with ECAs as Virtual Characters,"We present a mechanism for handling “barge-in” interruptions from a user who is engaged in a’social’conversation with an Embodied Conversational Agent (ECA). The ECA is designed to recognise and be empathetic to the emotional state of the user. Occasionally, the ECA will attempt to positively influence the user’s emotional state through the conversation. A characteristic of these conversations is that both the user and the ECA will at times speak long, multi sentence utterances as the conversation progresses. The generation of long utterances from the ECA creates opportunities for the user to barge-in whilst the ECA is speaking. Furthermore, the long ECA utterances may even provoke a user interruption since they often include advice to the user about how they should deal with difficult or stressful situations that have arisen. This paper outlines an approach to handling user barge-in interruptions in conversations with an ECA and describes its implementation in the Companions English demonstrator."
Avoiding dynamic delays in functional logic programs,Johan Boye,,"In several functional logic programming languages, functional expressions must be evaluated before unification with another term, but this can only be done if the functional expression is ground. If the functional expression is non-ground, then unification must be delayed until all the arguments have become instantiated to ground terms. If the delaying mechanism uses dynamic tests, the program will be unnecessarily inefficient.We present an analysis method for statically determining at what point in the program a given functional expression can be evaluated. This analysis is then used for transforming a functional logic program into an equivalent program, in which most dynamic delays are avoided. We show that this transformation can lead to considerable improvements in performance, compared to a dynamic delaying strategy."
S-SLD-resolution—an operational semantics for logic programs with external procedures,Johan Boye,,"This paper presents a new operational semantics for logic programs with external procedures, introduced in [BM88]. A new resolution procedure S-SLD-resolution is defined, in which each step of computation is characterized by a goal and a set of equational constraints, whose satisfiability cannot be decided with the information at hand. This approach improves the completeness of the resulting system, since further computation may result in the information needed to solve some earlier unsolved constraints. We also state a sufficient condition to distinguish a class of programs where no unsolved constraints will remain at the end of computation."
Generating context-sensitive ECA responses to user barge-in interruptions,Nigel Crook and Debora Field and Cameron Smith and Sue Harding and Stephen Pulman and Marc Cavazza and Daniel Charlton and Roger Moore and Johan Boye,Journal on Multimodal User Interfaces,"We present an Embodied Conversational Agent (ECA) that incorporates a context-sensitive mechanism for handling user barge-in. The affective ECA engages the user in social conversation, and is fully implemented. We will use actual examples of system behaviour to illustrate. The ECA is designed to recognise and be empathetic to the emotional state of the user. It is able to detect, react quickly to, and then follow up with considered responses to different kinds of user interruptions. The design of the rules which enable the ECA to respond intelligently to different types of interruptions was informed by manually analysed real data from human–human dialogue. The rules represent recoveries from interruptions as two-part structures: an address followed by a resumption. The system is robust enough to manage long, multi-utterance turns by both user and system, which creates good opportunities for the user to …"
Deriving salience models from human route directions,Jana Götze and Johan Boye,,"We present an approach to derive individual preferences in the use of landmarks for route instructions in a city environment. 1 Each possible landmark that a person can refer to in a given situation is modelled as a feature vector, and the preference (or salience) associated with the landmark can be computed as a weighted sum of these features. The weight vector, representing the person’s personal salience model, is automatically derived from the person’s own route descriptions. Experiments show that the derived salience models can correctly predict the user’s choice of landmark in 69% of the cases."
Multi-slot semantics for natural-language call routing systems,Johan Boye and Mats Wirén,,"Statistical classification techniques for natural-language call routing systems have matured to the point where it is possible to distinguish between several hundreds of semantic categories with an accuracy that is sufficient for commercial deployments. For category sets of this size, the problem of maintaining consistency among manually tagged utterances becomes limiting, as lack of consistency in the training data will degrade performance of the classifier. It is thus essential that the set of categories be structured in a way that alleviates this problem, and enables consistency to be preserved as the domain keeps changing. In this paper, we describe our experiences of using a twolevel multi-slot semantics as a way of meeting this problem. Furthermore, we explore the ramifications of the approach with respect to classification, evaluation and dialogue design for call routing systems."
Asynchronous dialogue management: Two case-studies,Johan Boye and Beth Ann Hockey and Manny Rayner,Gotalog: Fourth Workshop on the Semantics and Pragmatics of Dialogue,"Much of the human-machine dialogue research in the literature tacitly assumes a “synchronous” dialogue model; user talks, system acts, system replies. In particular, the user is not supposed to interrupt the system, neither when it talks nor acts. In this paper, we argue that the synchronous model is not appropriate for most interesting real-life applications, but there is a need for asynchronous dialogue models where the user has the possibility to interrupt the system at any time. By referring to two implemented asynchronous dialogue systems, we try to pinpoint what implementation requirements such a dialogue model entails, and we also outline some of the theoretical implications of asynchronous dialogue management."
J. Ma luszy nski. Declarative diagnosis of constraint programs: an assertion-based approach,J Boye and W Drabent,"Proc. of the 3rd. Int'l Workshop on Automated Debugging {AADEBUG'97, pages 123 {141, Linkoping, Sweden",
Quasi: a synthetic question-answering dataset in Swedish using GPT-3 and zero-shot learning,Dmytro Kalpakchi and Johan Boye,,"This paper describes the creation and evaluation of a synthetic dataset of Swedish multiple-choice questions (MCQs) for reading comprehension using GPT-3. Although GPT-3 is trained mostly on English data, with only 0.11% of Swedish texts in its training material, the model still managed to generate MCQs in Swedish. About 44% of the generated MCQs turned out to be of sufficient quality, ie they were grammatically correct and relevant, with exactly one answer alternative being correct and the others being plausible but wrong. We provide a detailed analysis of the errors and shortcomings of the rejected MCQs, as well an analysis of the level of difficulty of the accepted MCQs. In addition to giving insights into GPT-3, the synthetic dataset could be used for training and evaluation of special-purpose MCQ-generating models."
SpaceRef: A corpus of street-level geographic descriptions,Jana Götze and Johan Boye,,"This article describes SPACEREF, a corpus of street-level geographic descriptions. Pedestrians are walking a route in a (real) urban environment, describing their actions. Their position is automatically logged, their speech is manually transcribed, and their references to objects are manually annotated with respect to a crowdsourced geographic database. We describe how the data was collected and annotated, and how it has been used in the context of creating resources for an automatic pedestrian navigation system."
Language processing for spoken dialogue systems: is shallow parsing enough,Ian Lewin and Ralph Becket and Johan Boye and David Carter and Manny Rayner and Mats Wirén,Accessing information in spoken audio: proceedings of ESCA ETRW workshop,"With maturing speech technology, spoken dialogue systems are increasingly moving from research prototypes to fielded systems. The fielded systems however generally employ much simpler linguistic and dialogue processing strategies than the research prototypes. We describe an implemented spoken-language dialogue system for a travel planning domain which supports a mixed initiative dialogue strategy. The system accesses a commercially available travel information web-server. The system architecture combines both shallow and deep linguistic processors, partly so that a robust if shallow analysis is always available to the dialogue manager, and partly so that we can begin to examine where significant gains can be made by employing more advanced linguistic processing. We present the results of a preliminary investigation using data from a Wizard of Oz experiment. The results lend limited support to our original hypothesis that deep linguistic processing will prove useful at points where the user takes the initiative in driving the dialogue forward."
How to do dialogue in a fairy-tale world,Johan Boye and Joakim Gustafson,,"The work presented in this paper is an endeavor to create a prototype of a computer game with spoken dialogue capabilities. Advanced spoken dialogue has the potential to considerably enrich computer games, where it for example would allow players to refer to past events and to objects currently not visible on the screen. It would also allaow users to interact socially and to negotiate solutions with the game characters. The game takes place in a fairy-tale world, and features two different fairy-tale characters, who can interact with the player and with each other using spoken dialogue. The fairy-tale characters are separate entities in the sense that each character has its own set of goals and its own perception of the world. This paper gives an overview of the functionality of the implemented dialogue manager in the NICE fairy-tale game system."
“Turn Left” Versus “Walk Towards the Café”: When Relative Directions Work Better Than Landmarks,Jana Götze and Johan Boye,,"An automatic mechanism that gives verbal navigation instructions to pedestrians in situ needs to take into account a number of factors. Besides giving the instruction at the right time and place, the information needs to be as unambiguous as possible for the user to both choose the correct path and be confident in doing so. Humans make extensive use of landmarks when describing the way to others and are more successful following instructions that include landmarks. We present a study comparing landmark-based instructions with relative direction instructions on pedestrians in a real city environment, measuring both objective and subjective success. We find that at some decision points, relative direction instructions work better. We present a method that uses openly available geographic data to predict which kind of instruction is preferable at a given decision point."
Crowdsourcing Street-level Geographic Information Using a Spoken Dialogue System,Gustafson Meena and Boye and Skantze,,
Contextual reasoning in multimodal dialogue systems: Two case studies,Johan Boye and Mats Wirén and Joakim Gustafson,,"This paper describes an approach to contextual reasoning for interpretation of spoken multimodal dialogue. The approach is based on combining recencybased search for antecedents with an object-oriented domain representation in such a way that the search is highly constrained by the type information of the antecedents. By furthermore representing candidate antecedents from the dialogue history and visual context in a uniform way, a single machinery (based onreduction in lambda calculus) can be used for resolving many kinds of underspecified utterances. The approach has been implemented in two highly different domains."
Quinductor: a multilingual data-driven method for generating reading-comprehension questions using universal dependencies,Dmytro Kalpakchi and Johan Boye,Natural Language Engineering,"We propose a multilingual data-driven method for generating reading comprehension questions using dependency trees. Our method provides a strong, deterministic and inexpensive-to-train baseline for less-resourced languages. While a language-specific corpus is still required, its size is nowhere near those required by modern neural question generation (QG) architectures. Our method surpasses QG baselines previously reported in the literature in terms of automatic evaluation metrics and shows a good performance in terms of human evaluation."
Textinator: an internationalized tool for annotation and human evaluation in natural language processing and generation,Dmytro Kalpakchi and Johan Boye,,"We release an internationalized annotation and human evaluation bundle, called Textinator, along with documentation and video tutorials. Textinator allows annotating data for a wide variety of NLP tasks, and its user interface is offered in multiple languages, lowering the entry threshold for domain experts. The latter is, in fact, quite a rare feature among the annotation tools, that allows controlling for possible unintended biases introduced due to hiring only English-speaking annotators. We illustrate the rarity of this feature by presenting a thorough systematic comparison of Textinator to previously published annotation tools along 9 different axes (with internationalization being one of them). To encourage researchers to design their human evaluation before starting to annotate data, Textinator offers an easy-to-use tool for human evaluations allowing importing surveys with potentially hundreds of evaluation items in one click. We finish by presenting several use cases of annotation and evaluation projects conducted using pre-release versions of Textinator. The presented use cases do not represent Textinator’s full annotation or evaluation capabilities, and interested readers are referred to the online documentation for more information."
Do CFG-based language models need agreement constraints?,Manny Rayner and Genevieve Gorrell and Beth Ann Hockey and John Dowding and Johan Boye,,WYXac iwa ix Xkq7iªw qw yupig ce u bup aq7Xa Ä ÄXkq RXa ig# Xab Xk aiª w pig ÂÏwq0 uirq7Xa Á yuvtai w aigXap Xk aiª XR u rXk yuwR rÚ y big iª Xap Xk aiª w pig Xkqyi3 qc u rXa vc Û Ü±ÝlÞgßE ig ÄXayu aqTXa Ä ÄXkq7 bu 7 fuwqyi3 ÄXacf yXab bXkq7 fupuy yu E wR q7XauyrbuXkq7 yu Xkq aq7Xa e ÄXk yu rXa Xk aq7irig 4igd ràI i pig 7 Áq7uv ziá X4 irq7uvig waÂ iÁÀ irq7u 4igyubu 7 i3 ww Ì y pq7iri sE¢ Xa ig Xap Xk aiª w pig Âqw 2wq7uvthu Xa zu ig 4igd ig f ycl ig erb Xab# uÌ igXa T rXa yiª wd qTXa ig y bi irqÂÏwq7 ÄXaR Ái waÂ X4 tairqT yuwRu 7 fuR r pig Õ Xk aqyirig 4ig) wR q7Xauy% Xk Xauby 0 X'tairq7 yuwbu T uwqyig Ì y pig fào â qo ã¢b Rupoa aig 0 y bXk 0 ubr yuwwaÂ Xk aqyirig 4igE wb qTXaudy 0 yuvbuÅã rXady vc u qwtaig irqÂäwqT ÄXab Ái3 uÌ irq7 e waÂ wy åwq7 f irq7qwq% q7Xk iª XaR# ig ÄXayu á irqyqwq% q7Xk iaà
Resolving spatial references using crowdsourced geographical data,Jana Götze and Johan Boye,,"We present a study in which we seek to interpret spatial references that are part of in-situ route descriptions. Our aim is to resolve these references to actual entities and places in the city using a crowdsourced geographic database (Open-StreetMap). We discuss the problems related to this task, and present a possible automatic reference resolution method that can find the correct referent in 68% of the cases using features that are easily computable from the map."
Robust parsing and spoken negotiative dialogue with databases,Johan Boye and Mats Wirén,Natural Language Engineering,"This paper presents a robust parsing algorithm and semantic formalism for the interpretation of utterances in spoken negotiative dialogue with databases. The algorithm works in two passes: a domain-specific pattern-matching phase and a domain-independent semantic analysis phase. Robustness is achieved by limiting the set of representable utterance types to an empirically motivated subclass which is more expressive than propositional slot–value lists, but much less expressive than first-order logic. Our evaluation shows that in actual practice the vast majority of utterances that occur can be handled, and that the parsing algorithm is highly efficient and accurate."
Constraint manipulation and visualization in a multimodal dialogue system,Joakim Gustafson and Linda Bell and Boye Johan and Jens Edlund and Mats Wirn,,"When interacting with spoken and multimodal dialogue systems, it is often difficult for users to understand and influence how their input is processed by the system. In this paper, we describe how these problems were addressed in the multimodal real-estate dialogue system AdApt. During the course of a dialogue, the user's contraints are translated into symbolic icons that are visualized on the screen and can be manipulated by drag-and-drop operations. Users are thus given a clear picture of how their utterances are understood, and are given a transparent means of controlling the interaction with the system."
UDon2: a library for manipulating Universal Dependencies trees,Dmytro Kalpakchi and Johan Boye,,UDon2 is an open-source library for manipulating dependency trees represented in the CoNLL-U format. The library is compatible with the Universal Dependencies. UDon2 is aimed at developers of downstream Natural Language Processing applications that require manipulating dependency trees on the sentence level (in addition to other available tools geared towards working with treebanks).
Language technology for egovernment–business cases,Martin Henkel and Erik Perjons and Eriks Sneiders and Jussi Karlgren and Johan Boye and Anders Thelemyr,,"Language technologies and tools, such as text mining, information extraction, and question and answering systems, have been developed during many years. These technologies are becoming mature and should be ready for deployment in private and public organizations. However, little focus has been paid to how these technologies can be applied to tackle real-world problems within organizations. In this paper, we present a set of business cases where language technologies can have a significant impact on public organizations, including their business processes and services. We describe how each business case can influence the service quality, as seen from a consumer perspective, and the business processes efficiency, as seen from a public organizational perspective. The business cases are based on, and exemplified with, cases from large Swedish public organizations."
Robust parsing of utterances in negotiative dialogue,Johan Boye and Mats Wirén,,"This paper presents an algorithm for domain-dependent parsing of utterances in negotiative dialogue. To represent such utterances, the algorithm outputs semantic expressions that are more expressive than propositional slot-filler structures. It is very fast and robust, yet precise and capable of correctly combining information from different utterance fragments."
Dependency-based groundness analysis of functional logic programs,Johan Boye,,"The object of study in this thesis is a class of functional logic programs, where the functions are implemented in an external functional or imperative language. The contributions are twofold:Firstly, an operational semantics is formally defined. The key idea is that non-ground function calls selected for unification are delayed and retained in form of constraints until their arguments become ground. With this strategy two problems arise:(1) Given a program P and an initial goal, will any delayed unifications remain unresolved after computation?(2) For every function call f (X) in P, find a safe evaluation point for f (X), ie a point in P where X always will be bound to a ground term, and thus f (X) can be evaluated."
SweCTRL-Mini: a data-transparent Transformer-based large language model for controllable text generation in Swedish,Dmytro Kalpakchi and Johan Boye,arXiv preprint arXiv:2304.13994,"We present SweCTRL-Mini, a large Swedish language model that can be used for inference and fine-tuning on a single consumer-grade GPU. The model is based on the CTRL architecture by Keskar, McCann, Varshney, Xiong, and Socher (2019), which means that users of the SweCTRL-Mini model can control the genre of the generated text by inserting special tokens in the generation prompts. SweCTRL-Mini is trained on a subset of the Swedish part of the mC4 corpus and a set of Swedish novels. In this article, we provide (1) a detailed account of the utilized training data and text pre-processing steps, to the extent that it is possible to check whether a specific phrase/source was a part of the training data, and (2) an evaluation of the model on both discriminative tasks, using automatic evaluation methods, and generative tasks, using human referees. We also compare the generative capabilities of the model with those of GPT-3. SweCTRL-Mini is fully open and available for download."
Negotiative spoken-dialogue interfaces to databases,Johan Boye and Mats Wirén,,"The aim of this paper is to develop a principled and empirically motivated approach to robust, negotiative spoken dialogue with databases. Robustness is achieved by limiting the set of representable utterance types. Still, the vast majority of utterances that occur in practice can be handled. 1"
Language complexity measurement as a noisy zero-shot proxy for evaluating llm performance,Birger Moell and Johan Boye,arXiv preprint arXiv:2502.11578,"Large Language Models (LLMs) have made significant strides in natural language generation but often face challenges in tasks requiring precise calculations and structural analysis. This paper investigates the performance of state-of-the-art LLMs on language complexity measurement tasks, through the computation of the LIX readability metric and Average Dependency Distance (ADD). Using Swedish high school and university-level essays, we evaluate the models' abilities to compute LIX scores and perform dependency parsing, comparing their results to established ground truths. Our findings reveal that while all models demonstrate some capacity for these tasks, ChatGPT-o1-mini performs most consistently, achieving the highest accuracy in both LIX computation and dependency parsing. Additionally, we observe a strong significant correlation -0.875 p 0.026 (N=6) between the models' accuracy in computing LIX and their overall performance on the Massive Multitask Language Understanding (MMLU) benchmark. These results suggest that language complexity measurement abilities can serve as a noisy zero-shot proxies for assessing the general capabilities of LLMs, providing a practical method for model evaluation without the need for extensive benchmarking datasets."
